Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
Majumdar-Chopra Pvt Ltd,Pharmaceuticals,"Odisha, India",$50M to $100M,Active,2023,Seed,Pharmaceuticals,1,Mekhala Hayre,11-50,5,Seed,$100K to $500K,Medium,High,1350164,137.09330306172401,4501.349690018959,2,772
Doctor Group Innovations,Medical Devices,"Jammu and Kashmir, India",$1B to $10B,Active,2023,Series C,Healthcare,4,"Hamsini Kari, Rachana Madan, Nidhi Kala, Ekantika Kumer",1-10,4,Seed,$5M to $10M,Medium,—,1656260,1740.3696940502211,2971.517770147106,7,1734
Dash Group Innovations,Power,"Telangana, India",$10B+,Active,2017,—,Energy,3,"Pahal Bhattacharyya, Shravya Ratti, Rayaan Buch",11-50,7,Growing,—,—,—,1733804,-30.527665585643476,7926.104223653927,5,1724
Kade-Dixit Solutions,Media and Entertainment,"Rajasthan, India",$100M to $500M,Active,2022,Seed,Media,0,—,501-1000,5,Seed,$1M to $5M,Growing,Medium,1398718,301.8424171235944,7969.90215467495,2,940
Parekh PLC Pvt Ltd,Services,"Odisha, India",Less than $1M,Active,2018,Series B,Services,1,Viraj Basu,11-50,3,—,$5M to $10M,High,High,1351946,547.1559076956529,987.1500289837118,0,149
Som LLC Technologies,Paper & Packaging,"Jharkhand, India",$100M to $500M,Active,2021,IPO,Packaging,0,—,251-500,3,Early Stage Venture,$100K to $500K,—,Low,1124584,1717.3562971807426,7576.651962346035,4,1491
Pingle-Chaudhuri Technologies,Agriculture and Allied Industries,"Uttar Pradesh, India",$1B to $10B,Active,2018,Series A,Agriculture,2,"Divya Murthy, Kavya Sandhu",101-250,6,Seed,—,High,High,1863417,1640.0657266337273,9689.930638790998,4,2472
Goyal-Bahri Technologies,Renewable Energy,"Arunachal Pradesh, India",$10M to $50M,Active,2021,Series B,Energy,3,"Lila Mannan, Isaiah Menon, Abhiram Suri",51-100,7,Seed,$100K to $500K,High,High,814061,1683.5197457408306,9110.86048696196,7,1579
Taneja Ltd Pvt Ltd,Aviation,"Maharashtra, India",$1M to $10M,Active,2019,Series A,Transportation,3,"Lakshmi Ravi, Bhavya Chaudhary, Varenya Loke",501-1000,1,—,$500K to $1M,Growing,Low,1411212,42.66142125922474,8568.350890298243,7,1615
Morar-Ghose Labs,MSME,"Punjab, India",$1M to $10M,Active,2021,IPO,Small Business,0,—,251-500,6,—,$0,Medium,Medium,1151937,1260.7819839797737,580.31782206934,5,2087
Dhar Inc Solutions,Science and Technology,"Manipur, India",$1M to $10M,Closed,2021,Series B,Technology,1,Janani Sengupta,1-10,1,—,$0,Medium,Low,5364,-50.21454272251139,7753.22650047313,2,1906
"Sant, Madan and Padmanabhan Technologies",Chemicals,"Telangana, India",$1M to $10M,Closed,2024,Series C,Chemicals,1,Girindra Muni,11-50,3,—,—,Medium,Low,779,-81.67358651774877,3316.2616388364195,9,967
Ratta-Warrior Labs,Banking,"Chhattisgarh, India",$10B+,Active,2017,—,Financial Services,2,"Darpan Yogi, Yashvi Karnik",51-100,3,Early Stage Venture,—,—,Medium,812180,336.20045055980614,874.9358704922515,10,98
Memon-Ghose Labs,Science and Technology,"Goa, India",$1B to $10B,Active,2020,Seed,Technology,5,"Udyati Ratti, Arya Banerjee, Shaurya Dalal, Adweta Baral, Dhruv Balasubramanian",1-10,6,Seed,$50M to $100M,Medium,—,1696875,1964.9172987459838,2136.31465827389,6,2112
"Badal, Chhabra and Warrior Technologies",Healthcare,"Manipur, India",$1M to $10M,Closed,2022,Series C,Healthcare,2,"Hemani Vig, Sai Prabhakar",11-50,3,Growing,$500K to $1M,Medium,Medium,8135,-32.24048749201839,7439.2212665569505,5,662
Kara-Tiwari Pvt Ltd,Automobiles,"Karnataka, India",Less than $1M,Closed,2024,—,Automotive,0,—,11-50,0,—,—,High,Low,1622,-64.4527592232009,939.6575991713896,7,1805
Jani Inc Technologies,Agriculture and Allied Industries,"Manipur, India",$1M to $10M,Active,2018,Series A,Agriculture,3,"Gautami Sengupta, Gopal Pathak, Ekaraj Sethi",1-10,2,M&A,$500K to $1M,—,High,497511,1184.605147694822,5287.028392631716,5,557
Sahni Group Pvt Ltd,Infrastructure,"Andhra Pradesh, India",Less than $1M,Closed,2017,Series B,Infrastructure,4,"Mohammed Baria, Lopa Tailor, Vihaan Subramaniam, Max Patla",51-100,3,Early Stage Venture,$500K to $1M,—,Medium,13640,30.135365063382068,3393.11499228656,3,905
Kalita-Kuruvilla Innovations,Retail,"Himachal Pradesh, India",$10M to $50M,Active,2020,Series B,Commerce,5,"Forum Chakrabarti, Suhani Varughese, Irya Kakar, Lekha Shetty, Osha Keer",51-100,7,Growing,$0,—,—,842948,187.12466837536687,6590.018781814297,3,557
Wali LLC Innovations,Paper & Packaging,"Karnataka, India",Less than $1M,Active,2022,Series C,Packaging,0,—,11-50,1,M&A,—,Growing,Low,358083,329.54788159404944,1291.0732397405945,2,768
"Bassi, Contractor and Bava Technologies",IT & BPM,"Karnataka, India",Less than $1M,Closed,2022,IPO,Information Technology,0,—,1-10,3,M&A,$100K to $500K,Growing,Low,1375,-85.97581331044867,3374.3066205712234,9,1702
Pandya PLC Labs,Aviation,"Meghalaya, India",$1M to $10M,Active,2021,—,Transportation,1,Zehaan Gade,251-500,4,M&A,$100K to $500K,Growing,Low,970314,1179.0395304128876,6555.583711220501,8,2092
Lala-Chada Solutions,Gems and Jewellery,"Gujarat, India",$10M to $50M,Closed,2022,—,Luxury Goods,0,—,11-50,1,Early Stage Venture,$100K to $500K,—,Low,45653,-39.7434662734597,7092.929845038934,5,2497
Kapur-Hayer Technologies,Medical Devices,"Arunachal Pradesh, India",$1M to $10M,Closed,2019,—,Healthcare,3,"Arya Dugar, Omya Parsa, Libni Khurana",1-10,0,—,$100K to $500K,Medium,Low,1458,-71.73922260718548,1599.11440305949,4,562
Reddy Ltd Innovations,Textiles,"Jharkhand, India",Less than $1M,Closed,2023,—,Textiles,3,"Krishna Palla, Aadi Sur, Hiral Jain",1-10,1,M&A,$100K to $500K,Medium,Low,6884,-65.79429145680587,8733.968935358365,8,1668
"Bobal, Ghosh and Dada Technologies",Medical Devices,"Punjab, India",$10M to $50M,Active,2018,IPO,Healthcare,5,"Reyansh Kapur, Gagan Yadav, Kevin Sridhar, Lohit Madan, Ansh Padmanabhan",1001-5000,3,M&A,—,Medium,High,1796151,993.0049837452491,3763.768024143152,0,2233
Rastogi-Banerjee Pvt Ltd,Food Processing,"Karnataka, India",$10M to $50M,Closed,2017,Seed,Food and Beverage,5,"Qarin Ganesh, Rachana Balan, Watika Rattan, Qarin Shankar, Nidra Mitra",51-100,2,Growing,—,Growing,Low,23117,-12.522090902008799,7051.091920374671,9,1964
Sangha Group Technologies,Biotechnology,"Goa, India",$50M to $100M,Active,2024,Series B,Biotechnology,5,"Nachiket Bose, Ekta Sathe, Zansi Tella, Gagan Gola, Chakradev Dave",51-100,5,Growing,$100K to $500K,Growing,Low,221642,1588.7950533422306,9048.218027489544,10,1953
Bora Inc Labs,Tourism and Hospitality,"Goa, India",$1M to $10M,Active,2020,—,Hospitality,4,"Damyanti Nori, Jagat Rout, Aishani Dutta, Hema Reddy",1-10,0,—,$500K to $1M,—,Medium,1664405,585.9523690419613,1561.618905851691,9,35
Ratta-Narula Solutions,Electric Vehicle,"Rajasthan, India",Less than $1M,Closed,2017,Series B,Automotive,4,"Manthan Morar, George Dua, Victor Ganesh, Abhimanyu Uppal",1-10,2,Seed,$0,Growing,Low,2941,-37.34855425792536,1847.833237556525,1,1881
Nayar PLC Labs,E-Commerce,"Kerala, India",$10B+,Active,2021,Seed,Commerce,2,"Varenya Srivastava, Isaac Kadakia",1001-5000,7,—,$100M to $500M,Medium,Medium,390625,1464.1774367267985,3943.1753752948925,2,1309
Soni Group Technologies,Ports,"Assam, India",Less than $1M,Active,2021,Series B,Transportation,2,"Wahab Raman, Udant Lal",51-100,6,Growing,$500K to $1M,Medium,—,112004,1812.2940560321726,1490.2044637269282,2,1875
Khanna Ltd Innovations,Medical Devices,"Meghalaya, India",$1M to $10M,Closed,2017,Series B,Healthcare,1,Zayan Sidhu,1-10,1,Early Stage Venture,$100K to $500K,Growing,Medium,15803,-95.27160512070522,9626.474190330493,4,1324
Loke Ltd Labs,FMCG,"Uttarakhand, India",$10M to $50M,Active,2024,Series A,Consumer Goods,3,"Pooja Agarwal, Gautam Badami, Damini Kashyap",51-100,3,M&A,$10M to $50M,Growing,Low,1864203,1356.357308472847,9863.653332839387,7,308
"Swaminathan, Kumer and Srinivasan Solutions",Science and Technology,"Haryana, India",$10M to $50M,Active,2020,Series B,Technology,4,"Vansha Kanda, Jacob Ram, Vansha Narasimhan, Yahvi Bhasin",1-10,4,—,—,Growing,Medium,124904,1860.7645584194427,220.0981591024891,2,215
"Dada, Suri and Sankar Pvt Ltd",Railways,"Sikkim, India",$10M to $50M,Closed,2018,Series B,Transportation,2,"Arunima Barad, Bhavini Mand",11-50,1,M&A,$500K to $1M,High,—,42649,30.37040716911963,8777.278846742103,10,2016
"Ramaswamy, Sibal and Lall Pvt Ltd",Metals and Mining,"Gujarat, India",$10M to $50M,Active,2022,IPO,Mining,0,—,51-100,6,Growing,$0,High,Low,1734853,1011.4335539907279,6747.25614464954,10,586
Korpal-Thaker Technologies,Services,"Goa, India",Less than $1M,Closed,2020,Series B,Services,1,Hamsini De,1-10,3,Growing,—,Growing,Low,3115,-69.58884473354797,9149.666408245796,0,1959
Gara PLC Solutions,Electric Vehicle,"Telangana, India",$10M to $50M,Active,2017,Seed,Automotive,3,"Chandani Purohit, Chakradev Chaudhry, Waida Jha",1-10,4,Seed,$100K to $500K,Growing,—,1260161,57.31130571550062,4445.527561366597,3,1117
"Ganguly, Seshadri and Rastogi Solutions",Pharmaceuticals,"Haryana, India",$1B to $10B,Active,2022,Series C,Pharmaceuticals,1,Falan Singh,11-50,7,M&A,—,Growing,High,1589584,1361.8359364545179,4595.501984085419,2,1632
Chawla-Date Pvt Ltd,Tourism and Hospitality,"Goa, India",$10M to $50M,Closed,2022,Series B,Hospitality,4,"Osha Bhakta, Rishi Basak, Yahvi Sachdev, Urvashi Chana",11-50,1,—,—,Growing,—,18180,-32.212057948251754,913.4298273635754,5,1023
Bhatnagar-Bhattacharyya Technologies,Steel,"Telangana, India",$10B+,Active,2021,IPO,Manufacturing,4,"Forum Krish, Ethan Samra, Gaurang Balay, Idika Sampath",101-250,1,Early Stage Venture,$100K to $500K,Medium,—,799903,887.9873599089367,5888.524857783313,1,2452
Tiwari-Sampath Solutions,Biotechnology,"Nagaland, India",$10B+,Active,2019,Series A,Biotechnology,2,"Vritti Contractor, Jeet Mallick",51-100,2,—,$10M to $50M,—,Low,1318282,609.6436216582099,9493.482613345015,0,1689
Kari-Sathe Labs,Pharmaceuticals,"Odisha, India",$1M to $10M,Active,2024,Series B,Pharmaceuticals,0,—,251-500,3,Seed,$5M to $10M,—,—,1546808,786.3327182263571,9731.517610056226,7,1683
Patel PLC Technologies,Medical Devices,"Uttar Pradesh, India",$10B+,Active,2022,Series A,Healthcare,0,—,1-10,5,Growing,$500K to $1M,Growing,High,1586486,1853.0068111821472,9850.26570694446,8,2443
Bhalla Inc Innovations,Automobiles,"Madhya Pradesh, India",$50M to $100M,Active,2022,—,Automotive,0,—,501-1000,7,Early Stage Venture,$0,Growing,Low,290503,1702.1042701476374,5382.290206570443,10,473
"Krishnan, Nagi and Dugar Innovations",Media and Entertainment,"Uttarakhand, India",$10M to $50M,Active,2020,Seed,Media,4,"Noah Jaggi, Janaki Upadhyay, Mason Srinivasan, Zehaan Gupta",501-1000,6,Early Stage Venture,$100K to $500K,Medium,Low,516001,1905.5867523752845,6741.637603024194,6,700
"Kunda, Kothari and Sodhi Pvt Ltd",Manufacturing,"Tripura, India",Less than $1M,Closed,2019,Series C,Manufacturing,5,"Radha Mital, Kiaan Pingle, Yashvi Zacharia, Charan Nazareth, Neel Narula",51-100,1,—,—,—,Low,10879,38.55552948980937,9203.585927974982,3,144
Narula PLC Labs,E-Commerce,"Telangana, India",$10B+,Active,2017,Series C,Commerce,4,"Bhavika Sarna, Pavani Narasimhan, Abhiram Pathak, Adya Mital",101-250,5,—,$500K to $1M,Growing,Medium,453360,348.97592140146406,1230.9321439907708,6,1667
Dua-Chand Technologies,Science and Technology,"Sikkim, India",$1M to $10M,Closed,2019,Series A,Technology,3,"Dipta Kaur, Thomas Wason, Deepa Chadha",1-10,3,M&A,$0,High,Low,4381,-49.061597399173216,6223.864033351207,6,732
Bhardwaj-Basak Labs,Infrastructure,"Telangana, India",$10M to $50M,Active,2018,Series C,Infrastructure,1,Aadhya Iyer,11-50,1,Growing,$5M to $10M,Growing,Low,1987247,878.7816335525681,7196.340313952816,10,2451
"Korpal, Ben and Dhingra Labs",Agriculture and Allied Industries,"Haryana, India",$100M to $500M,Active,2018,—,Agriculture,5,"Pavani Bedi, Yauvani Uppal, Janaki Bansal, Meera Salvi, Azad Dhar",11-50,0,—,$500K to $1M,High,High,429433,664.1384843921209,6909.9974561656245,2,946
Chandran-Sengupta Innovations,Electronics System Design & Manufacturing,"Tripura, India",$1B to $10B,Active,2018,Series A,Electronics,1,Manya Chahal,251-500,6,Early Stage Venture,$100M to $500M,Growing,Low,1483333,135.90688867859905,301.8278147124614,7,173
Chakraborty Inc Solutions,Science and Technology,"Nagaland, India",$1M to $10M,Closed,2020,—,Technology,1,Panini Mandal,11-50,0,—,$0,Growing,Low,4245,-40.937588945227056,8848.515706860764,4,1501
"Lad, Saha and Samra Solutions",MSME,"West Bengal, India",$10M to $50M,Active,2018,Series A,Small Business,2,"Kalpit Shanker, Chavvi Barman",101-250,3,—,$50M to $100M,—,Low,833764,1230.2388321018057,1691.185829072652,2,1927
"Rajagopalan, Kashyap and Karpe Technologies",Tourism and Hospitality,"Kerala, India",$1M to $10M,Active,2020,Series B,Hospitality,3,"Luke Gour, Jeremiah Kalla, Brijesh Karan",51-100,5,Growing,$5M to $10M,Growing,High,1730123,174.6984808089611,6384.836665377726,7,139
"Biswas, Hari and Shukla Pvt Ltd",Consumer Durables,"Mizoram, India",$100M to $500M,Active,2021,Series A,Consumer Goods,4,"Rajata Gera, Ojas Loke, Isaac Sengupta, Brijesh Ramaswamy",1001-5000,2,—,$50M to $100M,Medium,Low,1657407,477.7983539334041,9172.53165208154,1,29
Nair-Warrior Pvt Ltd,Services,"Karnataka, India",Less than $1M,Closed,2019,Series C,Services,4,"Yatan Krishnan, Forum Bakshi, Gayathri Jha, Gopal Parmar",11-50,2,M&A,—,Medium,Low,5355,-11.008270377228214,4622.182472262463,8,1935
Nayar PLC Innovations,Biotechnology,"Gujarat, India",$50M to $100M,Active,2019,IPO,Biotechnology,2,"Saksham Kala, Nirja Seth",101-250,7,Growing,—,Medium,—,1121545,1702.6368417477206,9027.883193204709,0,2034
Pandit Group Innovations,Banking,"Punjab, India",Less than $1M,Closed,2019,—,Financial Services,3,"Mugdha Narayanan, Yatan Wadhwa, Patrick Gopal",1-10,1,Growing,$100K to $500K,—,Low,951,-58.776014188483174,4161.275786295698,0,1648
Chawla-Raj Innovations,Paper & Packaging,"Punjab, India",$10M to $50M,Active,2024,Series A,Packaging,3,"Saksham Chandra, Rohan Tailor, Ekantika Mani",101-250,5,Early Stage Venture,$1M to $5M,High,Low,935907,741.7643060743839,4305.40346964461,8,219
Narang Ltd Labs,Financial Services,"Meghalaya, India",Less than $1M,Closed,2018,Seed,Financial Services,2,"Viraj Bahri, Gaurangi Chada",11-50,1,Early Stage Venture,$0,Medium,Low,7241,-56.498223636364656,5990.912440534258,9,1141
Cherian and Sons Innovations,Biotechnology,"Arunachal Pradesh, India",$10M to $50M,Active,2020,Series C,Biotechnology,2,"Advik Wason, Triya Mistry",1001-5000,2,—,—,High,High,389219,1517.604436415727,580.6844604224359,9,1485
